info_type_id,movie_id,info,title,production_year
3,3281390,Western,"The Example",1915
3,3298985,Western,"Sturm Ã¼ber Arizona",1950
3,3202337,Western,"Kung fu nel pazzo west",1973
3,3287215,Western,"The Miracle of Charlie Dakin",1948
3,3360385,Western,"Mezzogiorno e mezzo di fuoco",1975
3,3202337,Western,"Long hu zheng xi",1973
3,3239926,Western,"My Hero",1948
3,3209202,Western,"Blutiger Staub",1967
3,3348522,Western,"Vento infuocato del Texas",1964
3,3294179,Western,"Il guerriero apache",1957
3,3259089,Western,"Who's Afraid of Zorro",1976
3,3357504,Western,"Wild Horse Canyon",1954
3,3360385,Western,"Black Bart",1974
3,3183639,Western,"Zorro: The Legend Continues",1990
3,3333577,Western,"The Adventures of Beartooth",1978
3,3278130,Western,"Colorado - Zwei Halunken im Goldrausch",1973
3,3224891,Western,"A Blue Western",1975
3,3259370,Western,"La revancha",1986
3,3307418,Western,"Chicago in 1812",1912
3,3272123,Western,"Der Vagabund von Texas",1954
3,3319330,Western,"ZurÃ¼ck in die Zukunft III",1991
3,3320928,Western,"Die GoldrÃ¤uber von Tombstone",1950
3,3217228,Western,"The Circus of Dr. Lao",1964
3,3300492,Western,"Django and Sartana... Showdown in the West",1970
3,3224953,Western,"Far West",1964
3,3183639,Western,"The New Zorro",1990
3,3217158,Western,"A Colt, Five Dollars and Carrion",1967
3,3242484,Western,"The Horse Trader",1928
3,3360388,Western,"Stolen Wealth",1940
3,3292396,Western,"Hour of Death",1964
3,3278131,Western,"Ben und Charlie",1972
3,3298926,Western,"Der Ãœberfall auf den Goldtransport",1927
3,3251266,Western,"Across the Wide Missouri",1951
3,3225971,Western,"In der Hitze des SÃ¼dens",1995
3,3228411,Western,"La promessa di un pistolero",2009
3,3360398,Western,"Who Killed Waring?",1945
3,3241479,Western,"Bankraub in Claytonville",1936
3,3217352,Western,"Hondo dispara mÃ¡s fuerte",1967
3,3319966,Western,"GefÃ¤hrlicher Auftrag",1970
3,3360371,Western,"Billy the Kid in Blazing Frontier",1943
3,3301871,Western,"Johnny schieÃŸt quer",1979
3,3339730,Western,"Die wilde Meute",1953
3,3294155,Western,"La valanga degli uomini rossi",1955
3,3202436,Western,"Three Supermen of the West",1974
3,3262640,Western,"Beyond the Frontiers of Hate",1972
3,3294163,Western,"Trommeln des Todes",1952
3,3242193,Western,"Eine Stadt nimmt Rache",1971
3,3213831,Western,"ZÃ¤hl bis drei und bete",1957
3,3264313,Western,"Der RÃ¤cher der Todesschlucht",1955
3,3327315,Western,"Port of Wickedness",1944
3,3269308,Western,"All die schÃ¶nen Pferde - All the Pretty Horses",2001
3,3248863,Western,"Dig Your Grave Friend... Sabata's Coming",1971
3,3319664,Western,"Das Geheimnis der fÃ¼nf GrÃ¤ber",1956
3,3324321,Western,"Ballad of a Gunman",1967
3,3321517,Western,"Odio di sangue",1941
3,3294171,Western,"Apache Uprising",1964
3,3241576,Western,"A Texas Romance - 1909",1964
3,3360385,Western,"Der wilde wilde Westen",1991
3,3272153,Western,"Along the Great Divide",1951
3,3239311,Western,"The Defenders",1916
3,3265286,Western,"Cannibal, The Musical",1993
3,3320929,Western,"Bad Man's Money",1929
3,3259089,Western,"Nuevas aventuras de El Zorro",1976
3,3257571,Western,"The Ghost Chaser",1924
3,3329257,Western,"Schiavi della paura",1950
